Place,CarNum,Team,Laps,Adjusted Time,TimeScore,LapsScore,Endurance Score
1,115,Univ of Texas - Arlington,10,1360.978,250,25,275
2,33,Purdue Univ - W Lafayette,10,1391.334,232.4,25,257.4
3,55,Univ of North Carolina - Charlotte,10,1395.896,229.8,25,254.8
4,80,Univ of Calif - San Diego,10,1398.293,228.5,25,253.5
5,88,The Ohio State University,10,1414.452,219.5,25,244.5
6,32,Univ of Calif - Los Angeles,10,1417.518,217.9,25,242.9
7,144,Kansas State Univ,10,1445.954,202.7,25,227.7
8,19,Univ of Illinois - Urbana Champaign,10,1457.367,196.7,25,221.7
9,18,Univ of Missouri,10,1457.554,196.6,25,221.6
10,14,California Polytechnic State Univ-SLO,10,1462.273,194.2,25,219.2
11,82,Georgia Institute of Technology,10,1467.487,191.5,25,216.5
12,124,Univ of Connecticut,10,1497.121,176.7,25,201.7
13,34,California State Univ - Northridge,10,1505.964,172.4,25,197.4
14,53,Michigan State University,10,1532.812,159.7,25,184.7
15,72,Univ of Cincinnati,10,1544.467,154.3,25,179.3
16,83,Western Michigan Univ,10,1554.195,149.9,25,174.9
17,131,Wroclaw University of Technology,10,1560.913,146.8,25,171.8
18,117,Missouri University of Science and Tech,10,1569.165,143.1,25,168.1
19,99,Univ of Akron,10,1580.785,138,25,163
20,71,Oklahoma State Univ,10,1591.795,133.2,25,158.2
21,17,Univ of Victoria,10,1593.487,132.5,25,157.5
22,20,Clarkson University,10,1627.647,118,25,143
23,92,Univ of Ottawa,10,1651.342,108.4,25,133.4
24,114,Saginaw Valley State Univ,10,1664.03,103.3,25,128.3
25,21,Univ of Colorado - Boulder,10,1666.567,102.3,25,127.3
26,110,Univ of Illinois - Chicago,10,1667.784,101.8,25,126.8
27,94,Temple Univ,10,1705.113,87.4,25,112.4
28,22,South Dakota School of Mines & Tech,10,1745.961,72.4,25,97.4
29,27,California State Univ - Fullerton,10,1776.157,61.7,25,86.7
30,127,Univ of Virginia,10,1815.331,48.4,25,73.4
31,97,Univ of South Florida,10,1823.271,45.8,25,70.8
32,35,California Baptist University,10,1851.4,36.6,25,61.6
33,76,Oregon Inst of Tech,10,1852.562,36.2,25,61.2
34,122,Univ of Texas - Austin,10,1884.751,26.1,25,51.1
35,96,Univ of British Columbia - Okanagan,10,1892.651,23.7,25,48.7
36,74,Univ of Southern California,10,1903.675,20.4,25,45.4
37,90,Sacramento State Univ,10,1912.119,17.8,25,42.8
38,126,Univ of Puerto Rico-Mayaquez,10,1923.636,14.4,25,39.4
39,45,Lawrence Technological Univ,10,1929.283,12.7,25,37.7
40,66,South Dakota State Univ,10,1953.102,5.8,25,30.8
41,107,Florida Atlantic Univ,10,1991.938,-,25,25
42,26,California State Univ - Los Angeles,10,1992.483,-,25,25
43,51,Minnesota State University - Mankato,10,2003.622,-,25,25
44,60,Univ of Hartford,10,2070.817,-,25,25
45,24,Colorado State University,10,2176.732,-,25,25
46,37,Michigan Tech Univ,10,2360.211,-,25,25
47,108,Brown Univ,10,2368.245,-,25,25
,103,Univ of Calif - Berkeley,9,DNF,-,18,18
,36,North Carolina State Univ - Raleigh,8,DNF,-,16,16
,65,Lakehead Univ,8,DNF,-,16,16
,29,California State Univ - Chico,7,DNF,-,14,14
,56,Clemson Univ,7,DNF,-,14,14
,140,Texas A&M Univ - College Station,6,DNF,-,12,12
,44,Univ of Waterloo,5,DNF,-,10,10
,86,Villanova Univ,5,DNF,-,10,10
,43,Univ of Calgary,5,DNF,-,10,10
,162,CEFET-MG,5,DNF,-,10,10
,61,Kennesaw State University,5,DNF,-,10,10
,13,Univ of Kansas - Lawrence,5,DNF,-,10,10
,42,Univ of Maryland - College Park,5,DNF,-,10,10
,58,Drexel Univ,5,DNF,-,10,10
,111,Oakland University,5,DNF,-,10,10
,113,Univ of Oklahoma,5,DNF,-,10,10
,16,Grand Valley State Univ,5,DNF,-,10,10
,106,Old Dominion Univ,5,DNF,-,10,10
,136,Texas Tech Univ,5,DNF,-,10,10
,101,Arizona State Univ - Tempe,5,DNF,-,10,10
,119,Univ of New Hampshire,5,DNF,-,10,10
,89,Mississippi State Univ,4,DNF,-,8,8
,49,Univ of North Florida,4,DNF,-,8,8
,142,Duke Univ,4,DNF,-,8,8
,31,York College of Pennsylvania,4,DNF,-,8,8
,81,California State Poly Univ - Pomona,3,DNF,-,6,6
,57,Univ of Pittsburgh - Pittsburgh,3,DNF,-,6,6
,134,Univ of Minnesota - Twin Cities,3,DNF,-,6,6
,23,Embry-Riddle Aero Univ - Daytona Beach,3,DNF,-,6,6
,73,Carleton Univ,3,DNF,-,6,6
,141,Univ of Kentucky,3,DNF,-,6,6
,137,Iowa State Univ,2,DNF,-,4,4
,30,Missouri State University,2,DNF,-,4,4
,63,Universidad Metropolitana,1,DNF,-,2,2
,64,Univ of Saskatchewan,0,DNF,-,,0
,78,Univ of Texas - Dallas,0,DNF,-,,0
,121,Univ of Wisconsin - Madison,0,DNF,-,,0