Place,CarNum,Team,Driver #1 Run #1 AdjTime,Driver #1 Run #2 AdjTime,Driver #2 Run #1 AdjTime,Driver #2 Run #2 AdjTime,Best Time,Score
1,117,Missouri University of Science and Tech,DNF,5.59,5.218,4.908,4.908,75
2,18,Univ of Missouri,5.066,4.97,6.478,5.591,4.97,70.08
3,99,Univ of Akron,6.07,5.518,5.096,5.013,5.013,66.77
4,131,Wroclaw University of Technology,5.172,5.383,5.22,5.095,5.095,60.69
5,88,The Ohio State University,DNF,5.653,5.315,5.12,5.12,58.89
6,19,Univ of Illinois - Urbana Champaign,5.343,5.136,DNA,DNA,5.136,57.76
7,44,Univ of Waterloo,DNF,5.381,5.188,5.145,5.145,57.12
8,80,Univ of Calif - San Diego,5.809,5.165,5.2,5.246,5.165,55.73
9,140,Texas A&M Univ - College Station,5.171,5.221,5.245,5.241,5.171,55.31
10  T,33,Purdue Univ - W Lafayette,5.51,5.304,5.396,5.203,5.203,53.12
10  T,97,Univ of South Florida,6.078,5.515,5.203,5.236,5.203,53.12
12,124,Univ of Connecticut,5.307,5.208,5.268,5.314,5.208,52.78
13,36,North Carolina State Univ - Raleigh,5.546,5.256,5.783,DNF,5.256,49.57
14,61,Kennesaw State University,5.816,5.6,5.27,5.438,5.27,48.65
15,103,Univ of Calif - Berkeley,5.315,5.286,5.398,5.291,5.286,47.61
16,73,Carleton Univ,DNF,5.36,5.42,5.288,5.288,47.48
17,96,Univ of British Columbia - Okanagan,5.363,5.298,5.603,5.568,5.298,46.84
18,162,CEFET-MG,5.558,5.331,DNA,DNA,5.331,44.73
19,106,Old Dominion Univ,5.78,DNF,5.343,DNF,5.343,43.98
20,35,California Baptist University,5.51,5.721,5.42,5.347,5.347,43.73
21,110,Univ of Illinois - Chicago,5.77,5.356,DNA,DNA,5.356,43.16
22,32,Univ of Calif - Los Angeles,5.37,5.377,5.868,5.748,5.37,42.3
23,81,California State Poly Univ - Pomona,5.823,5.623,5.585,5.373,5.373,42.11
24,101,Arizona State Univ - Tempe,5.375,5.746,6.518,6.128,5.375,41.99
25,105,Rose Hulman Inst of Tech,6.23,5.377,DNA,DNA,5.377,41.86
26,86,Villanova Univ,DNF,5.508,5.396,5.498,5.396,40.7
27,144,Kansas State Univ,DNF,5.433,DNF,5.404,5.404,40.22
28,94,Temple Univ,6.385,5.415,6.783,6.604,5.415,39.55
29,126,Univ of Puerto Rico-Mayaquez,5.888,5.416,5.421,5.81,5.416,39.49
30,83,Western Michigan Univ,5.67,5.496,5.559,5.447,5.447,37.64
31,23,Embry-Riddle Aero Univ - Daytona Beach,5.765,5.45,DNA,DNA,5.45,37.46
32,51,Minnesota State University - Mankato,5.457,5.696,5.59,DNF,5.457,37.05
33,43,Univ of Calgary,5.79,5.7,5.679,5.46,5.46,36.87
34,71,Oklahoma State Univ,5.849,5.515,5.468,6.657,5.468,36.4
35  T,16,Grand Valley State Univ,5.748,5.473,6.344,5.623,5.473,36.11
35  T,82,Georgia Institute of Technology,5.81,5.473,5.857,13.135,5.473,36.11
37,48,Colorado Mesa University,6.442,5.478,7.183,6.058,5.478,35.82
38,114,Saginaw Valley State Univ,5.68,5.498,5.598,5.491,5.491,35.06
39,13,Univ of Kansas - Lawrence,5.716,5.5,5.841,DNF,5.5,34.55
40,89,Mississippi State Univ,5.769,5.508,5.921,DNA,5.508,34.09
41,115,Univ of Texas - Arlington,DNF,5.573,DNF,5.51,5.51,33.97
42,56,Clemson Univ,5.719,5.52,DNF,DNA,5.52,33.4
43,137,Iowa State Univ,5.608,DNF,5.53,5.716,5.53,32.83
44,119,Univ of New Hampshire,DNF,5.787,5.548,5.612,5.548,31.82
45,34,California State Univ - Northridge,5.903,5.665,5.66,5.555,5.555,31.43
46,72,Univ of Cincinnati,6.105,5.708,5.702,5.563,5.563,30.98
47,29,California State Univ - Chico,DNF,5.579,DNA,DNA,5.579,30.1
48,113,Univ of Oklahoma,5.845,5.58,5.888,6.158,5.58,30.04
49,14,California Polytechnic State Univ-SLO,5.673,5.583,5.863,5.908,5.583,29.88
50,37,Michigan Tech Univ,DNF,5.585,DNA,DNA,5.585,29.77
51,58,Drexel Univ,6.113,6.068,5.795,5.592,5.592,29.38
52,134,Univ of Minnesota - Twin Cities,5.786,5.642,5.696,5.608,5.608,28.51
53,20,Clarkson University,5.623,5.612,DNA,DNA,5.612,28.3
54,78,Univ of Texas - Dallas,5.992,5.622,5.86,5.633,5.622,27.76
55,63,Universidad Metropolitana,5.683,6.143,5.636,5.829,5.636,27.01
56,49,Univ of North Florida,DNF,5.645,DNA,DNA,5.645,26.53
57,74,Univ of Southern California,5.77,5.657,5.689,DNF,5.657,25.89
58,55,Univ of North Carolina - Charlotte,6.175,5.998,5.823,5.663,5.663,25.57
59,142,Duke Univ,5.667,5.825,5.926,5.758,5.667,25.36
60,17,Univ of Victoria,5.673,5.75,5.945,5.708,5.673,25.05
61,22,South Dakota School of Mines & Tech,6.081,5.877,5.901,5.676,5.676,24.89
62,141,Univ of Kentucky,5.875,5.985,5.803,5.737,5.737,21.75
63,45,Lawrence Technological Univ,DNF,6.862,5.783,6.173,5.783,19.45
64,21,Univ of Colorado - Boulder,6.06,DNF,6.168,5.793,5.793,18.95
65,53,Michigan State University,DNF,5.91,6.311,6.459,5.91,13.36
66,42,Univ of Maryland - College Park,6.553,5.96,DNA,DNA,5.96,11.07
67  T,57,Univ of Pittsburgh - Pittsburgh,DNF,6.918,5.963,DNA,5.963,10.94
67  T,121,Univ of Wisconsin - Madison,6.938,5.963,6.207,DNF,5.963,10.94
69,27,California State Univ - Fullerton,5.986,DNA,DNA,DNA,5.986,9.91
70,111,Oakland University,5.993,DNF,DNA,DNA,5.993,9.6
71,30,Missouri State University,6.481,DNF,6.541,6.106,6.106,4.71
72,92,Univ of Ottawa,6.54,6.108,6.9,6.318,6.108,4.63
73  T,108,Brown Univ,7.83,6.138,8.283,8.053,6.138,3.5
73  T,60,Univ of Hartford,7.11,6.623,6.246,6.141,6.141,3.5
73  T,76,Oregon Inst of Tech,6.85,6.213,DNA,DNA,6.213,3.5
73  T,127,Univ of Virginia,7.021,6.252,7.104,6.368,6.252,3.5
73  T,26,California State Univ - Los Angeles,6.848,6.498,DNA,DNA,6.498,3.5
73  T,31,York College of Pennsylvania,DNF,6.562,DNA,DNA,6.562,3.5
73  T,122,Univ of Texas - Austin,DNF,6.635,DNA,DNA,6.635,3.5
73  T,136,Texas Tech Univ,DNF,6.806,DNA,DNA,6.806,3.5
73  T,107,Florida Atlantic Univ,6.862,DNF,DNA,DNA,6.862,3.5
73  T,93,Wichita State Univ,7.887,7.01,DNA,DNA,7.01,3.5
73  T,102,Univ of North Texas,DNF,7.363,DNA,DNA,7.363,3.5
73  T,91,Tennessee Tech Univ,9.156,DNF,DNA,DNA,9.156,3.5